Rank,Hotel_Name,Location,Price,HDP_Url,HDP_Deeplink,Hotel_Id,Sponsored
1,"Ginger Goa, Candolim",Candolim,"₹4,049",https://www.makemytrip.com/hotels/ginger_goa_candolim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202410211734063978&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.52459&lng=73.76756&locusId=CTGOI&locusType=city&rank=2&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202410211734063978,SPOTLIGHT
2,ITC Grand Goa - A Luxury Collection Resort,South Goa,"₹24,400",https://www.makemytrip.com/hotels/itc_grand_goa_a_luxury_collection_resort-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201810091116205895&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.32776&lng=73.89898&locusId=CTGOI&locusType=city&rank=3&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,201810091116205895,SPONSORED
3,"goSTOPS PLUS Goa, Vagator",Vagator,₹704,https://www.makemytrip.com/hotels/gostops_plus_goa_vagator-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202104160446198345&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.60443&lng=73.75161&locusId=CTGOI&locusType=city&rank=4&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202104160446198345,
4,Hotel Jyoti Plaza,Margao,"₹1,396",https://www.makemytrip.com/hotels/hotel_jyoti_plaza-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201905301952544998&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.27257&lng=73.96149&locusId=CTGOI&locusType=city&rank=5&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=BUDGET&mtkeys=undefined,201905301952544998,
5,Resort Primo Bom Terra Verde,Baga,"₹2,015",https://www.makemytrip.com/hotels/resort_primo_bom_terra_verde-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201011301738118288&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.55682&lng=73.7608&locusId=CTGOI&locusType=city&rank=6&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,201011301738118288,
6,Panjim City Dorms,Panjim,₹641,https://www.makemytrip.com/hotels/panjim_city_dorms-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202306071757558261&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.49803&lng=73.82336&locusId=CTGOI&locusType=city&rank=7&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202306071757558261,
7,Resort Terra Paraiso - A Beach Property,Calangute,"₹6,885",https://www.makemytrip.com/hotels/resort_terra_paraiso_a_beach_property-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200808160937473824&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.53608&lng=73.76019&locusId=CTGOI&locusType=city&rank=8&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,200808160937473824,SPONSORED
8,"The Hosteller Goa, Anjuna",Arpora,"₹1,351",https://www.makemytrip.com/hotels/the_hosteller_goa_anjuna-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202411151512575626&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.57199&lng=73.763&locusId=CTGOI&locusType=city&rank=9&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202411151512575626,
9,All Seasons Guest House | Rooms & Dorms,Margao,₹707,https://www.makemytrip.com/hotels/all_seasons_guest_house_rooms_dorms-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201812302149514034&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.26929&lng=73.96548&locusId=CTGOI&locusType=city&rank=10&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=BUDGET&mtkeys=undefined,201812302149514034,
10,Grand Mercure Goa Candolim - An Accor Hotels Brand,Candolim,"₹9,101",https://www.makemytrip.com/hotels/grand_mercure_goa_candolim_an_accor_hotels_brand-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202306201803512244&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.52143&lng=73.80076&locusId=CTGOI&locusType=city&rank=11&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202306201803512244,SPONSORED
11,The Menino Regency,Panjim,"₹1,368",https://www.makemytrip.com/hotels/the_menino_regency-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200812111249585713&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.49857&lng=73.82811&locusId=CTGOI&locusType=city&rank=12&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,200812111249585713,
12,ALOHA HOLIDAY RESORT,Baga,"₹2,188",https://www.makemytrip.com/hotels/aloha_holiday_resort-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202206271351297248&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.56717&lng=73.75092&locusId=CTGOI&locusType=city&rank=13&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202206271351297248,
13,Hyatt Centric Candolim Goa,Calangute,"₹8,900",https://www.makemytrip.com/hotels/hyatt_centric_candolim_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201512121606154014&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.52915&lng=73.76506&locusId=CTGOI&locusType=city&rank=14&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,201512121606154014,
14,Estrela Do Mar Beach Resort - A Beach Property,Calangute,"₹3,974",https://www.makemytrip.com/hotels/estrela_do_mar_beach_resort_a_beach_property-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200801081506202871&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.55073&lng=73.75368&locusId=CTGOI&locusType=city&rank=15&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,200801081506202871,
15,"Ronil Goa, part of Hyatt",Baga,"₹8,750",https://www.makemytrip.com/hotels/ronil_goa_part_of_hyatt-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202312221020535437&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.55676&lng=73.75571&locusId=CTGOI&locusType=city&rank=16&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202312221020535437,
16,"Le Meridien Goa, Calangute",Calangute,"₹9,500",https://www.makemytrip.com/hotels/le_meridien_goa_calangute-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201708141704145698&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.53218&lng=73.76512&locusId=CTGOI&locusType=city&rank=17&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,201708141704145698,SPOTLIGHT
17,Vrihi Luxury A-Frames,Mandrem,"₹5,384",https://www.makemytrip.com/hotels/vrihi_luxury_a_frames-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202408071641389429&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.67283&lng=73.71755&locusId=CTGOI&locusType=city&rank=18&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202408071641389429,
18,"Fortune Select Candolim, Goa - Member ITC Hotels' Group",Candolim,"₹6,974",https://www.makemytrip.com/hotels/fortune_select_candolim_goa_member_itc_hotels_group-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202405180956422470&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.51216&lng=73.77502&locusId=CTGOI&locusType=city&rank=19&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202405180956422470,SPONSORED
19,Mosh By The Shore,Palolem,"₹4,721",https://www.makemytrip.com/hotels/mosh_by_the_shore-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202311281713002849&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.00676&lng=74.02673&locusId=CTGOI&locusType=city&rank=20&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202311281713002849,SPOTLIGHT
20,DONAPAULA SEA VIEW UNIT: RAULS BOUTIQUE Hotel,Panjim,"₹2,343",https://www.makemytrip.com/hotels/donapaula_sea_view_unit_rauls_boutique_hotel-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202608271524475952&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.45619&lng=73.81851&locusId=CTGOI&locusType=city&rank=21&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202608271524475952,
21,Emperor Ozran by Alaya Stays,Vagator,"₹3,892",https://www.makemytrip.com/hotels/emperor_ozran_by_alaya_stays-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202407182005015717&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.5966&lng=73.74062&locusId=CTGOI&locusType=city&rank=22&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202407182005015717,SPONSORED
22,Caravela Beach Resort,Varca Beach,"₹3,42,000",https://www.makemytrip.com/hotels/caravela_beach_resort-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200703241029455940&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.2096&lng=73.93258&locusId=CTGOI&locusType=city&rank=23&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,200703241029455940,
23,Fairfield by Marriott Goa Calangute,Calangute,"₹6,675",https://www.makemytrip.com/hotels/fairfield_by_marriott_goa_calangute-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202202141715557752&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.53209&lng=73.76694&locusId=CTGOI&locusType=city&rank=24&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202202141715557752,SPOTLIGHT
24,Novotel Goa Panjim,Panjim,"₹9,999",https://www.makemytrip.com/hotels/novotel_goa_panjim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202409201439066917&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.49468&lng=73.83383&locusId=CTGOI&locusType=city&rank=25&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202409201439066917,SPONSORED
25,Araqila Beach Resort,Vengurla,"₹20,025",https://www.makemytrip.com/hotels/araqila_beach_resort-details-vengurla.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202409270832259390&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTVEN&country=IN&lat=15.78868&lng=73.65781&locusId=CTGOI&locusType=city&rank=26&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,202409270832259390,
26,Alaya Stay Gracias Close to Ashvem Beach,Morjim,"₹3,200",https://www.makemytrip.com/hotels/alaya_stay_gracias_close_to_ashvem_beach-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202505201253229515&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.63781&lng=73.72681&locusId=CTGOI&locusType=city&rank=27&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202505201253229515,SPONSORED
27,Fairfield by Marriott Goa Benaulim,Benaulim,"₹9,000",https://www.makemytrip.com/hotels/fairfield_by_marriott_goa_benaulim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202108041730272432&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.24958&lng=73.92204&locusId=CTGOI&locusType=city&rank=28&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202108041730272432,SPOTLIGHT
28,Yu hotel,Candolim,"₹5,120",https://www.makemytrip.com/hotels/yu_hotel-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202001231100036987&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.52602&lng=73.76598&locusId=CTGOI&locusType=city&rank=29&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202001231100036987,SPONSORED
29,Beleza By The Beach,South Goa,"₹12,000",https://www.makemytrip.com/hotels/beleza_by_the_beach-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=20090106161513779&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.29089&lng=73.91175&locusId=CTGOI&locusType=city&rank=30&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,20090106161513779,
30,Orient Resort & Spa at Calangute Goa,Baga,"₹1,723",https://www.makemytrip.com/hotels/orient_resort_spa_at_calangute_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202609051726527840&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.55471&lng=73.75691&locusId=CTGOI&locusType=city&rank=31&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202609051726527840,
31,Rofinos Cottages,Parra,"₹2,502",https://www.makemytrip.com/hotels/rofinos_cottages-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202201061226238587&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.56749&lng=73.7972&locusId=CTGOI&locusType=city&rank=32&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202201061226238587,SPOTLIGHT
32,"Orange Sky Inn, Goa",Palolem,"₹2,897",https://www.makemytrip.com/hotels/orange_sky_inn_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202412051916148112&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.00884&lng=74.0276&locusId=CTGOI&locusType=city&rank=33&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202412051916148112,
33,"Gateway Goa, Palolem",Palolem,"₹7,000",https://www.makemytrip.com/hotels/gateway_goa_palolem-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202410121919144277&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=14.99538&lng=74.04094&locusId=CTGOI&locusType=city&rank=34&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202410121919144277,
34,"Taj Fort Aguada Resort & Spa, Goa",Candolim,"₹25,025",https://www.makemytrip.com/hotels/taj_fort_aguada_resort_spa_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200706181440296181&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.49743&lng=73.767&locusId=CTGOI&locusType=city&rank=35&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,200706181440296181,
35,Grand Hyatt Goa,Tiswadi,"₹17,461",https://www.makemytrip.com/hotels/grand_hyatt_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201110121338012845&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.45074&lng=73.85137&locusId=CTGOI&locusType=city&rank=36&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=LUXE&mtkeys=undefined,201110121338012845,
36,Park Inn by Radisson Goa Candolim,Candolim,"₹5,357",https://www.makemytrip.com/hotels/park_inn_by_radisson_goa_candolim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200701101932594418&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.51464&lng=73.76986&locusId=CTGOI&locusType=city&rank=37&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,200701101932594418,SPOTLIGHT
37,"Ginger Goa, Panjim",Panjim,"₹5,799",https://www.makemytrip.com/hotels/ginger_goa_panjim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=20080802125928557&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.49499&lng=73.83447&locusId=CTGOI&locusType=city&rank=38&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,20080802125928557,SPOTLIGHT
38,Fairfield by Marriott Goa Anjuna,Anjuna,"₹4,800",https://www.makemytrip.com/hotels/fairfield_by_marriott_goa_anjuna-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=201809191807109143&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.57628&lng=73.7579&locusId=CTGOI&locusType=city&rank=39&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,201809191807109143,SPOTLIGHT
39,Hilton Garden Inn Goa Calangute,Calangute,"₹5,899",https://www.makemytrip.com/hotels/hilton_garden_inn_goa_calangute-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202601300837488877&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.53109&lng=73.76449&locusId=CTGOI&locusType=city&rank=40&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202601300837488877,
40,ELIVAAS Signature House of Neptune 1BHK Cottage on the Beach,Morjim,"₹7,796",https://www.makemytrip.com/hotels/elivaas_signature_house_of_neptune_1bhk_cottage_on_the_beach-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202412262008379342&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.64164&lng=73.72029&locusId=CTGOI&locusType=city&rank=41&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202412262008379342,SPOTLIGHT
41,Hipnoetic Goa,South Goa,"₹6,711",https://www.makemytrip.com/hotels/hipnoetic_goa-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202506261926582034&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.18871&lng=74.08488&locusId=CTGOI&locusType=city&rank=42&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202506261926582034,
42,Radisson Goa Candolim,Candolim,"₹9,100",https://www.makemytrip.com/hotels/radisson_goa_candolim-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=20070209145406915&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.50949&lng=73.77027&locusId=CTGOI&locusType=city&rank=43&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,20070209145406915,SPOTLIGHT
43,Vista Mare- A property at Beach,Vagator,"₹13,522",https://www.makemytrip.com/hotels/vista_mare_a_property_at_beach-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202609012214454152&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.596&lng=73.73394&locusId=CTGOI&locusType=city&rank=44&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202609012214454152,
44,"Lemon Tree Hotel, Anjuna",Vagator,"₹4,999",https://www.makemytrip.com/hotels/lemon_tree_hotel_anjuna-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202505051844573514&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.59611&lng=73.74738&locusId=CTGOI&locusType=city&rank=45&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,202505051844573514,
45,Courtyard by Marriott Colva,Colva,"₹9,550",https://www.makemytrip.com/hotels/courtyard_by_marriott_colva-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=202405201938438106&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.28262&lng=73.91634&locusId=CTGOI&locusType=city&rank=46&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&viewType=PREMIUM&mtkeys=undefined,202405201938438106,SPOTLIGHT
46,SinQ Beach Resort,Calangute,"₹2,048",https://www.makemytrip.com/hotels/sinq_beach_resort-details-goa.html,https://www.makemytrip.com/hotels/hotel-details?hotelId=200909011122329638&_uCurrency=INR&checkin=09252026&checkout=09272026&city=CTGOI&country=IN&lat=15.53672&lng=73.76279&locusId=CTGOI&locusType=city&rank=47&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Goa&mtkeys=undefined,200909011122329638,SPOTLIGHT
